algo,run_name,metadata_source,training_walltime_sec,eval_mean_reward,eval_std_reward,callback_best_mean_reward,best_smoothed_reward,best_model_path,final_model_path,policy_path,episode_rewards_path,timestep,eval_callback_mean,eval_callback_std,mean_ep_length,source_file,score_for_rank,reward_rank,hp.learning_rate,hp.gamma,hp.n_steps,hp.gae_lambda,hp.ent_coef,hp.vf_coef,hp.max_grad_norm,hp.total_timesteps,hp.policy_kwargs.net_arch,hp.policy_kwargs.activation_fn,hp.policy_kwargs.ortho_init,hp.buffer_size,hp.batch_size,hp.train_freq,hp.gradient_steps,hp.target_update_interval,hp.exploration_fraction,hp.exploration_final_eps,hp.learning_starts,hp.clip_range,hp.hidden_layers,hp.entropy_coef,hp.normalize_returns,hp.episodes,hp.batch_episodes
PPO,run_05,run,834.3297074000584,82.52499999999999,43.894019348533625,132.037500125,,models\ppo\run_05\best_model\best_model.zip,models\ppo\run_05\final_model.zip,,,250000.0,88.866666625,38.097736079938755,50.0,ppo\run_05\eval_logs\evaluations.npz,82.52499999999999,6.0,0.0003,0.99,768.0,0.95,0.01,0.5,0.5,250000.0,"[256, 128]",ELU,False,,128.0,,,,,,,0.2,,,,,
PPO,run_01,run,1018.0991939000087,78.145833375,35.75313853506139,91.22083337500001,,models\ppo\run_01\best_model\best_model.zip,models\ppo\run_01\final_model.zip,,,250000.0,91.22083337500001,35.111393935997754,50.0,ppo\run_01\eval_logs\evaluations.npz,78.145833375,7.0,0.00025,0.98,2048.0,0.95,0.005,0.4,0.6,250000.0,"[256, 128]",ReLU,False,,256.0,,,,,,,0.2,,,,,
PPO,run_09,run,678.6156157000223,-15.824999875000003,132.35611034736564,75.89583337500001,,models\ppo\run_09\best_model\best_model.zip,models\ppo\run_09\final_model.zip,,,250000.0,38.8166665,44.14516148568518,50.0,ppo\run_09\eval_logs\evaluations.npz,-15.824999875000003,8.0,0.00015,0.99,1536.0,0.96,0.0,0.5,0.8,250000.0,"[256, 256, 128]",Tanh,True,,256.0,,,,,,,0.2,,,,,
PPO,run_06,run,658.3248422999168,-56.145833374999995,2.86855273740814,-54.562500125,,models\ppo\run_06\best_model\best_model.zip,models\ppo\run_06\final_model.zip,,,250000.0,-177.91250000000002,63.227305996411786,50.0,ppo\run_06\eval_logs\evaluations.npz,-56.145833374999995,9.0,0.0002,0.995,2048.0,0.97,0.0,0.5,0.7,250000.0,"[256, 256]",Tanh,True,,256.0,,,,,,,0.2,,,,,
PPO,run_02,run,1654.365422999952,-61.28750000000001,43.76433710698574,-32.37916675,,models\ppo\run_02\best_model\best_model.zip,models\ppo\run_02\final_model.zip,,,250000.0,-32.37916675,45.889910321007804,50.0,ppo\run_02\eval_logs\evaluations.npz,-61.28750000000001,10.0,0.0001,0.99,1536.0,0.97,0.0,0.5,0.7,250000.0,"[256, 256, 128]",ReLU,True,,192.0,,,,,,,0.25,,,,,
REINFORCE,run_04,run,210.58791460003704,-54.09166666666668,2.400448453472348,,-53.538007983901245,,,models\pg\run_04\policy.pt,models\pg\run_04\episode_rewards.csv,,,,,,-54.09166666666668,1.0,0.0006,0.98,,,,,0.5,,,,,,,,,,,,,,"[256, 256]",0.001,True,500.0,3.0
REINFORCE,run_06,run,140.13355589995626,-55.000000000000014,3.4136978971978866,,-61.93518856973188,,,models\pg\run_06\policy.pt,models\pg\run_06\episode_rewards.csv,,,,,,-55.000000000000014,2.0,0.0004,0.995,,,,,0.6,,,,,,,,,,,,,,"[256, 128]",0.0,True,480.0,2.0
REINFORCE,run_00,run,40.597204200108536,-56.562500000000014,3.922033114342606,,-78.621365413077,,,models\pg\run_00\policy.pt,models\pg\run_00\episode_rewards.csv,,,,,,-56.562500000000014,3.0,0.001,0.99,,,,,0.5,,,,,,,,,,,,,,"[256, 256]",0.001,True,400.0,1.0
REINFORCE,run_07,run,60.10103630006779,-146.08749999999995,53.97340378345818,,-76.42626130892215,,,models\pg\run_07\policy.pt,models\pg\run_07\episode_rewards.csv,,,,,,-146.08749999999995,4.0,0.0009,0.97,,,,,0.6,,,,,,,,,,,,,,"[256, 256]",0.002,True,360.0,1.0
REINFORCE,run_02,run,64.54585150000639,-152.7625,2.888600079046392,,-82.89152575669955,,,models\pg\run_02\policy.pt,models\pg\run_02\episode_rewards.csv,,,,,,-152.7625,5.0,0.0008,0.97,,,,,0.6,,,,,,,,,,,,,,"[128, 128]",0.002,False,350.0,2.0
REINFORCE,run_05,run,101.79296919994522,-252.9749999999999,7.425028058308376,,-77.92116642756409,,,models\pg\run_05\policy.pt,models\pg\run_05\episode_rewards.csv,,,,,,-252.9749999999999,6.0,0.0012,0.96,,,,,0.7,,,,,,,,,,,,,,"[128, 128]",0.003,False,320.0,2.0
REINFORCE,run_03,run,43.39444750000257,-254.27916666666653,2.2773606494750886,,-85.13315975181564,,,models\pg\run_03\policy.pt,models\pg\run_03\episode_rewards.csv,,,,,,-254.27916666666653,7.0,0.0003,0.99,,,,,0.6,,,,,,,,,,,,,,"[256, 256, 128]",0.0,True,450.0,1.0
REINFORCE,run_08,run,137.8059925000416,-256.2791666666666,4.187810933729839,,-71.98655751134396,,,models\pg\run_08\policy.pt,models\pg\run_08\episode_rewards.csv,,,,,,-256.2791666666666,8.0,0.0007,0.99,,,,,0.5,,,,,,,,,,,,,,"[256, 256]",0.0015,True,420.0,2.0
REINFORCE,run_09,run,307.026605800027,-256.3416666666666,4.144398830550363,,-55.723127532129375,,,models\pg\run_09\policy.pt,models\pg\run_09\episode_rewards.csv,,,,,,-256.3416666666666,9.0,0.00025,0.995,,,,,0.6,,,,,,,,,,,,,,"[256, 256, 128]",0.0,True,600.0,3.0
REINFORCE,run_01,run,52.00832779996563,-257.3166666666666,4.065061158484804,,-71.18604601923211,,,models\pg\run_01\policy.pt,models\pg\run_01\episode_rewards.csv,,,,,,-257.3166666666666,10.0,0.0005,0.98,,,,,0.5,,,,,,,,,,,,,,"[256, 128]",0.0,True,300.0,2.0
